"kingdom" "phylum" "class" "order" "family" "genus" "binomial" "statut" "category" "foraging.niche" "body.mass" "habitat.breadth" "main.diet" "foraging.period"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale gracilis" "endemic" "LC" "G" 23.3 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale brevicaudata" "endemic" "LC" "G" 11.3 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale dobsoni" "endemic" "LC" "G" 38 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale thomasi" "endemic" "LC" "G" 22.9 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Limnogale" "Limnogale mergulus" "endemic" "VU" "G" 78.6 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale talazaci" "endemic" "LC" "G" 48 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale soricoides" "endemic" "LC" "G" 18.7 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale parvula" "endemic" "LC" "G" 3.4 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale drouhardi" "endemic" "LC" "G" 10.5 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Oryzorictes" "Oryzorictes tetradactylus" "endemic" "DD" "G" 36 4 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Oryzorictes" "Oryzorictes hova" "endemic" "LC" "G" 36.5 4 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Geogale" "Geogale aurita" "endemic" "LC" "G" 7 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Tenrec" "Tenrec ecaudatus" "endemic" "LC" "G" 868 5 "I" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Hemicentetes" "Hemicentetes semispinosus" "endemic" "LC" "G" 137.8 4 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Hemicentetes" "Hemicentetes nigriceps" "endemic" "LC" "G" 102.99 3 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Setifer" "Setifer setosus" "endemic" "LC" "G" 294 5 "VPC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Echinops" "Echinops telfairi" "endemic" "LC" "G" 180 4 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "PILOSA" "BRADYPODIDAE" "Bradypus" "Bradypus pygmaeus" "endemic" "CR" "Ar" 4022.57 1 "PMS" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon marcanoi" "endemic" "EX" "G" 764.85 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon paradoxus" "endemic" "LC" "G" 900 3 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Euroscaptor" "Euroscaptor mizura" "endemic" "LC" "G" 35.47 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Mogera" "Mogera wogura" "endemic" "LC" "G" 111.5 4 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Mogera" "Mogera imaizumii" "endemic" "LC" "G" 65.53 4 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Mogera" "Mogera tokudae" "endemic" "NT" "G" 129.5 4 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Urotrichus" "Urotrichus talpoides" "endemic" "LC" "G" 45 3 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Dymecodon" "Dymecodon pilirostris" "endemic" "LC" "G" 15.46 3 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Myosorex" "Myosorex eisentrauti" "endemic" "CR" "G" 10.35 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Suncus" "Suncus hosei" "endemic" "DD" "G" 7.64 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura hispida" "endemic" "VU" "G" 10.35 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura baluensis" "endemic" "LC" "G" 16.9 4 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura tenuis" "endemic" "DD" "G" 9.43 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura vosmaeri" "endemic" "DD" "G" 10.42 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura maxi" "endemic" "LC" "G" 7.53 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura nicobarica" "endemic" "CR" "G" 28.9 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura orii" "endemic" "EN" "G" 14.4 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura grandis" "endemic" "DD" "G" 10.35 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura zimmermanni" "endemic" "EN" "G" 10.35 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura canariensis" "endemic" "EN" "G" 7.5 4 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura sicula" "endemic" "LC" "G" 6.9 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura miya" "endemic" "EN" "G" 10.2 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura trichura" "endemic" "CR" "G" 10.42 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura dsinezumi" "endemic" "LC" "G" 10.21 4 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura watasei" "endemic" "LC" "G" 10.42 4 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura paradoxura" "endemic" "LC" "G" 8.23 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura jenkinsi" "endemic" "CR" "G" 12.6 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura nigripes" "endemic" "LC" "G" 13.2 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura beatus" "endemic" "LC" "G" 10.55 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura negrina" "endemic" "EN" "G" 11.33 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura mindorus" "endemic" "DD" "G" 18 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura grayi" "endemic" "LC" "G" 10.3 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura palawanensis" "endemic" "LC" "G" 10.35 3 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura foetida" "endemic" "LC" "G" 10.42 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura beccarii" "endemic" "LC" "G" 10.35 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura lepidura" "endemic" "LC" "G" 10.42 3 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura orientalis" "endemic" "LC" "G" 15.8 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura brunnea" "endemic" "LC" "G" 10.42 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura thomensis" "endemic" "EN" "G" 10.35 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura hutanis" "endemic" "LC" "G" 10.42 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura andamanensis" "endemic" "CR" "G" 10.35 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura levicula" "endemic" "LC" "G" 1.77 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura rhoditis" "endemic" "LC" "G" 14 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura musseri" "endemic" "DD" "G" 10.42 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura elongata" "endemic" "LC" "G" 17.8 3 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Crocidura" "Crocidura lea" "endemic" "LC" "G" 6.6 1 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Suncus" "Suncus zeylanicus" "endemic" "EN" "G" 29.8 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Suncus" "Suncus mertensi" "endemic" "EN" "G" 7.95 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Suncus" "Suncus ater" "endemic" "DD" "G" 11.1 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Suncus" "Suncus fellowesgordoni" "endemic" "EN" "G" 7.64 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Solisorex" "Solisorex pearsoni" "endemic" "EN" "G" 10.3 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Sorex" "Sorex hosonoi" "endemic" "LC" "G" 3.25 3 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Sorex" "Sorex shinto" "endemic" "LC" "G" 6 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Sorex" "Sorex jacksoni" "endemic" "LC" "G" 3.5 3 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Sorex" "Sorex pribilofensis" "endemic" "EN" "G" 6.05 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Sorex" "Sorex leucogaster" "endemic" "DD" "G" 4.83 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Anourosorex" "Anourosorex yamashinai" "endemic" "LC" "G" 20 3 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Episoriculus" "Episoriculus fumidus" "endemic" "LC" "G" 6.95 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Chodsigoa" "Chodsigoa sodalis" "endemic" "DD" "G" 5.49 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Chimarrogale" "Chimarrogale phaeura" "endemic" "EN" "G" 31 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Chimarrogale" "Chimarrogale sumatrana" "endemic" "DD" "G" 27.89 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SORICIDAE" "Chimarrogale" "Chimarrogale platycephalus" "endemic" "LC" "G" 36.32 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "ERINACEIDAE" "Neohylomys" "Neohylomys hainanensis" "endemic" "EN" "G" 52.21 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "ERINACEIDAE" "Hylomys" "Hylomys parvus" "endemic" "VU" "G" 65.83 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "ERINACEIDAE" "Podogymnura" "Podogymnura truei" "endemic" "LC" "G" 114 1 "I" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "ERINACEIDAE" "Podogymnura" "Podogymnura aureospinula" "endemic" "EN" "G" 247 2 "I" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "PHOLIDOTA" "MANIDAE" "Manis" "Manis culionensis" "endemic" "CR" "S" 5982.25 3 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "CANIDAE" "Urocyon" "Urocyon littoralis" "endemic" "NT" "G" 1896 5 "MH" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "CANIDAE" "Dusicyon" "Dusicyon australis" "endemic" "EX" "G" 50003.45 1 "VPC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MEPHITIDAE" "Mydaus" "Mydaus marchei" "endemic" "LC" "G" 1414.2 4 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MEPHITIDAE" "Mydaus" "Mydaus javanensis" "endemic" "LC" "G" 2500 4 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "PROCYONIDAE" "Procyon" "Procyon pygmaeus" "endemic" "CR" "G" 2500 2 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MUSTELIDAE" "Meles" "Meles anakuma" "endemic" "LC" "G" 13000 2 "I" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MUSTELIDAE" "Martes" "Martes melampus" "endemic" "LC" "S" 1000 3 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MUSTELIDAE" "Melogale" "Melogale everetti" "endemic" "EN" "G" 1500 2 "MC" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MUSTELIDAE" "Melogale" "Melogale orientalis" "endemic" "LC" "G" 2000 3 "MC" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MUSTELIDAE" "Mustela" "Mustela itatsi" "endemic" "NT" "G" 57 4 "MC" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "MUSTELIDAE" "Mustela" "Mustela lutreolina" "endemic" "LC" "G" 706.6 2 "VPC" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Fossa" "Fossa fossana" "endemic" "VU" "S" 1500 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Eupleres" "Eupleres goudotii" "endemic" "VU" "G" 3000 1 "I" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Salanoia" "Salanoia concolor" "endemic" "VU" "G" 650 2 "MC" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Mungotictis" "Mungotictis decemlineata" "endemic" "EN" "G" 650 2 "I" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Galidictis" "Galidictis grandidieri" "endemic" "EN" "G" 1400 2 "VPC" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Galidictis" "Galidictis fasciata" "endemic" "VU" "G" 550 1 "VPC" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Galidia" "Galidia elegans" "endemic" "LC" "S" 800 2 "MC" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "EUPLERIDAE" "Cryptoprocta" "Cryptoprocta ferox" "endemic" "VU" "S" 9500 1 "VPC" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "HERPESTIDAE" "Herpestes" "Herpestes semitorquatus" "endemic" "NT" "G" 1916.01 2 "MC" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "VIVERRIDAE" "Macrogalidia" "Macrogalidia musschenbroekii" "endemic" "VU" "S" 4000 4 "VPC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "VIVERRIDAE" "Diplogale" "Diplogale hosei" "endemic" "VU" "G" 3124.89 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "VIVERRIDAE" "Paradoxurus" "Paradoxurus zeylonensis" "endemic" "LC" "Ar" 2780.75 3 "MC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CARNIVORA" "FELIDAE" "Catopuma" "Catopuma badia" "endemic" "EN" "G" 2500 1 "VPC" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "PERISSODACTYLA" "RHINOCEROTIDAE" "Rhinoceros" "Rhinoceros sondaicus" "endemic" "CR" "G" 1750000 1 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "PERISSODACTYLA" "RHINOCEROTIDAE" "Dicerorhinus" "Dicerorhinus sumatrensis" "endemic" "CR" "G" 1266667 1 "MH" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Babyrousa" "Babyrousa togeanensis" "endemic" "EN" "G" 1e+05 4 "PMS" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Babyrousa" "Babyrousa celebensis" "endemic" "VU" "G" 1e+05 2 "PMS" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Babyrousa" "Babyrousa babyrussa" "endemic" "VU" "G" 1e+05 2 "PMS" "D"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Sus" "Sus oliveri" "endemic" "VU" "G" 73569.74 4 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Sus" "Sus ahoenobarbus" "endemic" "NT" "G" 73569.74 2 "MH" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Sus" "Sus celebensis" "endemic" "NT" "G" 55000 5 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Sus" "Sus verrucosus" "endemic" "EN" "G" 81250 3 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Sus" "Sus cebifrons" "endemic" "CR" "G" 190792.3 3 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "SUIDAE" "Sus" "Sus philippensis" "endemic" "VU" "G" 190792.3 4 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "TRAGULIDAE" "Moschiola" "Moschiola meminna" "endemic" "LC" "G" 2938.14 5 "PMS" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "TRAGULIDAE" "Tragulus" "Tragulus javanicus" "endemic" "DD" "G" 2775 3 "PMS" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "TRAGULIDAE" "Tragulus" "Tragulus nigricans" "endemic" "EN" "G" 3706.24 2 "PMS" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "CERVIDAE" "Muntiacus" "Muntiacus atherodes" "endemic" "NT" "G" 15600 2 "PMS" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "CERVIDAE" "Rusa" "Rusa alfredi" "endemic" "EN" "G" 46475.04 3 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "CERVIDAE" "Rusa" "Rusa marianna" "endemic" "VU" "G" 49457.61 2 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "CERVIDAE" "Rusa" "Rusa timorensis" "endemic" "VU" "G" 66375.5 4 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "CERVIDAE" "Axis" "Axis kuhlii" "endemic" "CR" "G" 55000 3 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "CERVIDAE" "Axis" "Axis calamianensis" "endemic" "EN" "G" 40500 3 "PMS" "CN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "BOVIDAE" "Bubalus" "Bubalus mindorensis" "endemic" "CR" "G" 233333.33 3 "PMS" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "BOVIDAE" "Bubalus" "Bubalus quarlesi" "endemic" "EN" "G" 150000 1 "PMS" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "BOVIDAE" "Bubalus" "Bubalus depressicornis" "endemic" "EN" "G" 3e+05 1 "PMS" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "BOVIDAE" "Capricornis" "Capricornis crispus" "endemic" "LC" "G" 43030.64 4 "PMS" "CD"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CETARTIODACTYLA" "BOVIDAE" "Capricornis" "Capricornis swinhoei" "endemic" "LC" "G" 69093.52 4 "PMS" "CD"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CHIROPTERA" "RHINOLOPHIDAE" "Rhinolophus" "Rhinolophus montanus" "endemic" "EN" "A" 10.62 2 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "CHIROPTERA" "RHINOLOPHIDAE" "Rhinolophus" "Rhinolophus formosae" "endemic" "LC" "A" 10.62 2 "I" "N"
